# bench-baseline.csv - checked-in instruction-throughput baseline for the perf gate.
# Seeded from the main-branch benchmarks run of 2026-09-23 (#131, 282dbe24):
# output/bench/bench-metrics.csv (Verilator RTL sim, BENCH peak/dependent IPC x1000).
# Checked by scripts/bench_regression.py in CI (benchmarks job on main, subset in
# verilator-sim on PRs). To affirm an intended delta, regenerate with:
#   python3 scripts/bench_regression.py --metrics output/bench/bench-metrics.csv \
#       --baseline verification/bench-baseline.csv --update-baseline
# and commit the result in the same PR that changes the microarchitecture.
# Columns: name,peak_ipc_milli,dependent_ipc_milli ("-" = no latency region).
name,peak_ipc_milli,dependent_ipc_milli
add,1933,1237
addi,1933,1237
addiw,1933,1237
addw,1933,1237
amoadd_d,257,-
amoadd_w,257,-
amoand_d,257,-
amoand_w,257,-
amomax_d,257,-
amomax_w,257,-
amomaxu_d,257,-
amomaxu_w,257,-
amomin_d,257,-
amomin_w,257,-
amominu_d,257,-
amominu_w,257,-
amoor_d,257,-
amoor_w,257,-
amoswap_d,257,-
amoswap_w,257,-
amoxor_d,257,-
amoxor_w,257,-
lr_d,343,-
lr_w,343,-
sc_d,515,-
sc_w,515,-
and,1933,1237
andi,1933,1237
auipc,1776,-
beq,1013,372
bge,1013,372
bgeu,1013,372
blt,1013,372
bltu,1013,372
bne,1013,372
csrrc,6,46
csrrci,6,-
csrrs,6,46
csrrsi,6,-
csrrw,6,46
csrrwi,6,-
div,15,19
divu,15,19
divuw,15,19
divw,15,19
fence,1991,-
fadd_d,1012,311
fadd_s,1012,311
fclass_d,1012,-
fclass_s,1012,-
fcvt_d_l,1012,-
fcvt_d_lu,1012,-
fcvt_d_s,1013,622
fcvt_d_w,1012,-
fcvt_d_wu,1012,-
fcvt_l_d,1012,-
fcvt_l_s,1012,-
fcvt_lu_d,1012,-
fcvt_lu_s,1012,-
fcvt_s_d,1013,622
fcvt_s_l,1012,-
fcvt_s_lu,1012,-
fcvt_s_w,1012,-
fcvt_s_wu,1012,-
fcvt_w_d,1012,-
fcvt_w_s,1012,-
fcvt_wu_d,1012,-
fcvt_wu_s,1012,-
fdiv_d,18,22
fdiv_s,40,49
feq_d,1012,-
feq_s,1012,-
fld,515,-
fle_d,1012,-
fle_s,1012,-
flt_d,1012,-
flt_s,1012,-
flw,515,-
fmadd_d,1012,156
fmadd_s,1012,208
fmax_d,1013,622
fmax_s,1013,622
fmin_d,1013,622
fmin_s,1013,622
fmsub_d,1012,156
fmsub_s,1012,208
fmul_d,1012,311
fmul_s,1012,415
fmv_d_x,1012,-
fmv_w_x,1012,-
fmv_x_d,1012,-
fmv_x_w,1012,-
fnmadd_d,1012,156
fnmadd_s,1012,208
fnmsub_d,1012,156
fnmsub_s,1012,208
fsd,1012,-
fsgnj_d,1013,622
fsgnj_s,1013,622
fsgnjn_d,1013,622
fsgnjn_s,1013,622
fsgnjx_d,1013,622
fsgnjx_s,1013,622
fsqrt_d,18,22
fsqrt_s,40,49
fsub_d,1012,311
fsub_s,1012,311
fsw,1012,-
jal,170,-
jalr,378,-
lb,515,415
lbu,515,415
ld,515,415
lh,515,415
lhu,515,415
lui,1776,-
lw,515,415
lwu,515,415
mul,1013,415
mulh,1013,415
mulhsu,1013,415
mulhu,1013,415
mulw,1013,415
or,1933,1237
ori,1933,1237
rem,15,19
remu,15,19
remuw,15,19
remw,15,19
sb,1012,-
sd,1012,-
sh,1012,-
sll,1933,1237
slli,1933,1237
slliw,1933,1237
sllw,1933,1237
slt,1933,1237
slti,1933,1237
sltiu,1933,1237
sltu,1933,1237
sra,1933,1237
srai,1933,1237
sraiw,1933,1237
sraw,1933,1237
srl,1933,1237
srli,1933,1237
srliw,1933,1237
srlw,1933,1237
sub,1933,1237
subw,1933,1237
sw,1012,-
xor,1933,1237
xori,1933,1237
add_uw,93,-
andn,102,-
bclr,102,-
bclri,102,-
bext,102,-
bexti,102,-
binv,102,-
binvi,102,-
bset,102,-
bseti,102,-
clmul,102,-
clmulh,102,-
clmulr,102,-
clz,113,-
clzw,85,-
cpop,113,-
cpopw,102,-
ctz,113,-
ctzw,113,-
max,102,-
maxu,102,-
min,102,-
minu,102,-
orc_b,113,-
orn,102,-
rev8,113,-
rol,102,-
rolw,102,-
ror,102,-
rori,102,-
roriw,102,-
rorw,102,-
sext_b,93,-
sext_h,93,-
sh1add,102,-
sh1add_uw,93,-
sh2add,102,-
sh2add_uw,93,-
sh3add,102,-
sh3add_uw,93,-
slli_uw,93,-
xnor,102,-
zext_h,93,-
